gene_id	transcript_id	scaffold	start	end	strand	product	pfam_ids	merops_ids	busco_ids	matched_families	matched_keywords	matched_pfam	evidence_strength	default_confidence	contamination_flag	notes
FUS_000444	FUS_000444-T1	scaffold_1	1363577	1365581	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000447	FUS_000447-T1	scaffold_1	1376002	1377007	-	L-xylo-3-hexulose reductase	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000448	FUS_000448-T1	scaffold_1	1378333	1379338	+	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000529	FUS_000529-T1	scaffold_1	1682495	1684010	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000556	FUS_000556-T1	scaffold_1	1755045	1756738	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000570	FUS_000570-T1	scaffold_1	1797777	1799760	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000573	FUS_000573-T1	scaffold_1	1811546	1813616	-	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_000622	FUS_000622-T1	scaffold_1	1966892	1968563	+	hypothetical protein	PF00171			aldehyde_dehydrogenase		PF00171	pfam_only	Low	no	aldehyde_dehydrogenase: Large family — keyword match alone insufficient; require Pfam support for meaningful hits
FUS_000678	FUS_000678-T1	scaffold_1	2138080	2139549	-	formate dehydrogenase (NAD+)	PF00107|PF08240		EOG09262PIH	formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000697	FUS_000697-T1	scaffold_1	2202234	2204035	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000702	FUS_000702-T1	scaffold_1	2210165	2212000	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000764	FUS_000764-T1	scaffold_1	2413038	2414098	+	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_000767	FUS_000767-T1	scaffold_1	2418147	2419584	-	hypothetical protein	PF00171		EOG0926388H	aldehyde_dehydrogenase		PF00171	pfam_only	Low	no	aldehyde_dehydrogenase: Large family — keyword match alone insufficient; require Pfam support for meaningful hits
FUS_000768	FUS_000768-T1	scaffold_1	2421707	2422970	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000841	FUS_000841-T1	scaffold_1	2690234	2690687	+	plasma membrane proteolipid Pmp3	PF01679			lignin_peroxidase	lip		keyword_only	Medium	no	
FUS_000865	FUS_000865-T1	scaffold_1	2752243	2754467	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000869	FUS_000869-T1	scaffold_1	2763295	2765035	-	hypothetical protein	PF00171			aldehyde_dehydrogenase		PF00171	pfam_only	Low	no	aldehyde_dehydrogenase: Large family — keyword match alone insufficient; require Pfam support for meaningful hits
FUS_000870	FUS_000870-T1	scaffold_1	2765620	2766273	+	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000880	FUS_000880-T1	scaffold_1	2793016	2793836	+	hypothetical protein	PF00578|PF08534		EOG0926578E	peroxiredoxin		PF00578	pfam_only	Low	no	
FUS_000883	FUS_000883-T1	scaffold_1	2796423	2797320	-	hypothetical protein	PF00106|PF01370|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000895	FUS_000895-T1	scaffold_1	2821799	2823455	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000900	FUS_000900-T1	scaffold_1	2833713	2835290	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000924	FUS_000924-T1	scaffold_2	13115	14694	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000939	FUS_000939-T1	scaffold_2	49964	51954	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000941	FUS_000941-T1	scaffold_2	55965	57711	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_000948	FUS_000948-T1	scaffold_2	82216	86873	+	ABC transporter Abc3, unknown specificity	PF14510|PF00005|PF01061|PF06422			ABC_transporter	abc transporter	PF00005	keyword_plus_pfam	Low	no	ABC_transporter: Broad family — relevant for PAH efflux/tolerance. Report separately.
FUS_000963	FUS_000963-T1	scaffold_2	135400	137200	+	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_000979	FUS_000979-T1	scaffold_2	172705	173724	-	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_000991	FUS_000991-T1	scaffold_2	203052	204489	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001010	FUS_001010-T1	scaffold_2	251816	253281	+	hypothetical protein	PF01565|PF08031			alcohol_oxidase		PF01565	pfam_only	Medium	no	alcohol_oxidase: Vergara-Fernandez 2019
FUS_001019	FUS_001019-T1	scaffold_2	289826	291517	-	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001027	FUS_001027-T1	scaffold_2	315627	317392	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001057	FUS_001057-T1	scaffold_2	395961	397097	+	hypothetical protein	PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001063	FUS_001063-T1	scaffold_2	411835	412875	-	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001064	FUS_001064-T1	scaffold_2	413977	415574	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001083	FUS_001083-T1	scaffold_2	455889	456520	+	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	PF03079|PF07883			dioxygenase	dioxygenase		keyword_only	Low	YES	dioxygenase: HIGH contamination risk — check BLAST hit taxonomy and scaffold GC content
FUS_001084	FUS_001084-T1	scaffold_2	457681	458773	+	hypothetical protein	PF00106|PF01370|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001126	FUS_001126-T1	scaffold_2	579559	581427	+	Putative lipase atg15				lignin_peroxidase	lip		keyword_only	Medium	no	
FUS_001134	FUS_001134-T1	scaffold_2	603431	604336	-	hypothetical protein	PF13410|PF13409|PF00043|PF02798|PF13417			GST		PF00043|PF02798	pfam_only	Medium	no	GST: Core conjugation/detoxification family
FUS_001156	FUS_001156-T1	scaffold_2	672617	673482	-	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001162	FUS_001162-T1	scaffold_2	692585	694161	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001191	FUS_001191-T1	scaffold_2	777375	779045	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001207	FUS_001207-T1	scaffold_2	831616	833612	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001208	FUS_001208-T1	scaffold_2	834569	836520	+	hypothetical protein	PF16347|PF00884			aryl_sulfatase		PF00884	pfam_only	Medium	no	aryl_sulfatase: Han et al. 2026 — 6-hydroxybenzo[a]pyrene sulfate metabolite
FUS_001216	FUS_001216-T1	scaffold_2	864071	864868	+	hypothetical protein	PF00043|PF14497			GST		PF00043	pfam_only	Medium	no	GST: Core conjugation/detoxification family
FUS_001225	FUS_001225-T1	scaffold_2	890736	892640	-	hypothetical protein	PF12146|PF00561|PF12697	MER0036072		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_001249	FUS_001249-T1	scaffold_2	965979	966994	+	hypothetical protein	PF00080|PF00403			SOD		PF00080	pfam_only	Low	no	
FUS_001288	FUS_001288-T1	scaffold_2	1109419	1110456	-	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001290	FUS_001290-T1	scaffold_2	1114640	1116463	+	hypothetical protein	PF00732|PF05199			alcohol_oxidase		PF00732	pfam_only	Medium	no	alcohol_oxidase: Vergara-Fernandez 2019
FUS_001291	FUS_001291-T1	scaffold_2	1117337	1118919	+	Sterol 14-alpha demethylase	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001300	FUS_001300-T1	scaffold_2	1157929	1159470	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001331	FUS_001331-T1	scaffold_2	1252201	1253875	-	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001368	FUS_001368-T1	scaffold_2	1357339	1358370	-	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001372	FUS_001372-T1	scaffold_2	1364948	1366493	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001374	FUS_001374-T1	scaffold_2	1369688	1370959	-	Alpha-ketoglutarate-dependent xanthine dioxygenase xan-1	PF02668			dioxygenase	dioxygenase		keyword_only	Low	YES	dioxygenase: HIGH contamination risk — check BLAST hit taxonomy and scaffold GC content
FUS_001376	FUS_001376-T1	scaffold_2	1373319	1374188	-	hypothetical protein	PF12146|PF00561|PF12697	MER0036050		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_001380	FUS_001380-T1	scaffold_2	1379154	1381657	-	hypothetical protein	PF13450|PF00743			FAD_monooxygenase|phenol_monooxygenase		PF00743	pfam_only	Medium	no	FAD_monooxygenase: Includes salicylate-1-monooxygenase | phenol_monooxygenase: Annotated in F. solani (San Martin-Davison 2024)
FUS_001382	FUS_001382-T1	scaffold_2	1385665	1386593	-	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001383	FUS_001383-T1	scaffold_2	1387416	1389477	+	hypothetical protein	PF00732|PF05199			alcohol_oxidase		PF00732	pfam_only	Medium	no	alcohol_oxidase: Vergara-Fernandez 2019
FUS_001384	FUS_001384-T1	scaffold_2	1389951	1390928	-	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001388	FUS_001388-T1	scaffold_2	1401289	1402864	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001399	FUS_001399-T1	scaffold_2	1425983	1427572	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001409	FUS_001409-T1	scaffold_2	1447501	1448974	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001411	FUS_001411-T1	scaffold_2	1453238	1454986	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001417	FUS_001417-T1	scaffold_2	1467518	1469225	+	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001420	FUS_001420-T1	scaffold_2	1472109	1473574	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001423	FUS_001423-T1	scaffold_2	1478919	1480606	-	hypothetical protein	PF05978|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001440	FUS_001440-T1	scaffold_2	1518649	1520140	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001446	FUS_001446-T1	scaffold_2	1535521	1537428	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001454	FUS_001454-T1	scaffold_2	1555269	1556506	-	hypothetical protein	PF13602|PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001455	FUS_001455-T1	scaffold_2	1557848	1559570	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001461	FUS_001461-T1	scaffold_2	1576394	1577593	-	hypothetical protein	PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001463	FUS_001463-T1	scaffold_2	1581298	1582884	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001464	FUS_001464-T1	scaffold_2	1583448	1584997	+	hypothetical protein	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001465	FUS_001465-T1	scaffold_2	1585185	1586033	+	hypothetical protein	PF00561|PF12697	MER0004146		epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_001495	FUS_001495-T1	scaffold_2	1685379	1687657	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001509	FUS_001509-T1	scaffold_2	1716793	1718158	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001511	FUS_001511-T1	scaffold_2	1719659	1721162	-	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase component (E2)	PF00198|PF02817|PF00364			lignin_peroxidase	lip		keyword_only	Medium	no	
FUS_001520	FUS_001520-T1	scaffold_2	1760251	1763912	+	translational elongation factor EF-1 alpha	PF00005|PF24984|PF24987|PF17947|PF23271			ABC_transporter		PF00005	pfam_only	Low	no	ABC_transporter: Broad family — relevant for PAH efflux/tolerance. Report separately.
FUS_001528	FUS_001528-T1	scaffold_2	1791858	1793709	-	hypothetical protein	PF06609|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001529	FUS_001529-T1	scaffold_2	1796473	1798089	+	hypothetical protein	PF00171			aldehyde_dehydrogenase		PF00171	pfam_only	Low	no	aldehyde_dehydrogenase: Large family — keyword match alone insufficient; require Pfam support for meaningful hits
FUS_001539	FUS_001539-T1	scaffold_2	1822552	1824224	+	hypothetical protein	PF00171			aldehyde_dehydrogenase		PF00171	pfam_only	Low	no	aldehyde_dehydrogenase: Large family — keyword match alone insufficient; require Pfam support for meaningful hits
FUS_001550	FUS_001550-T1	scaffold_2	1858575	1860322	+	hypothetical protein	PF00083|PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001560	FUS_001560-T1	scaffold_2	1879584	1881507	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001567	FUS_001567-T1	scaffold_2	1894528	1895370	+	hypothetical protein	PF02798|PF13417|PF13410|PF13409			GST		PF02798	pfam_only	Medium	no	GST: Core conjugation/detoxification family
FUS_001572	FUS_001572-T1	scaffold_2	1912530	1914042	-	hypothetical protein	PF00107|PF08240			formaldehyde_dehydrogenase		PF00107	pfam_only	Medium	no	formaldehyde_dehydrogenase: Vergara-Fernandez 2019 — downstream of methanol oxidase
FUS_001574	FUS_001574-T1	scaffold_2	1920196	1921610	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001576	FUS_001576-T1	scaffold_2	1924240	1925825	+	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001591	FUS_001591-T1	scaffold_2	1967181	1968258	-	hypothetical protein	PF00106|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001615	FUS_001615-T1	scaffold_2	2051289	2052396	+	hypothetical protein	PF00848			dioxygenase		PF00848	pfam_only	Low	YES	dioxygenase: HIGH contamination risk — check BLAST hit taxonomy and scaffold GC content
FUS_001620	FUS_001620-T1	scaffold_2	2061682	2062601	+	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001632	FUS_001632-T1	scaffold_2	2086370	2087419	+	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001638	FUS_001638-T1	scaffold_2	2103216	2105125	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001702	FUS_001702-T1	scaffold_3	122876	123904	+	hypothetical protein	PF00736|PF00043|PF10587		EOG092644ZU	GST		PF00043	pfam_only	Medium	no	GST: Core conjugation/detoxification family
FUS_001711	FUS_001711-T1	scaffold_3	150901	152655	-	Sterol 14-alpha demethylase	PF00067			CYP_general		PF00067	pfam_only	Medium	no	CYP_general: All CYPs share PF00067. Subfamily assignment requires FCPD. monooxygenase keyword kept intentionally — clean up at manual review stage.
FUS_001723	FUS_001723-T1	scaffold_3	181232	182413	-	hypothetical protein	PF00106			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
FUS_001775	FUS_001775-T1	scaffold_3	350112	352029	-	hypothetical protein	PF07690			MFS_transporter		PF07690	pfam_only	Low	no	MFS_transporter: Report separately from catalytic enzymes
FUS_001781	FUS_001781-T1	scaffold_3	366518	367836	-	Protein phosphatase methylesterase 1	PF00561|PF12697	MER0036069	EOG09264E5J	epoxide_hydrolase		PF00561	pfam_only	Medium	no	epoxide_hydrolase: Downstream of CYP-mediated hydroxylation. ' eh ' keyword removed — too short, risk of false matches.
FUS_001791	FUS_001791-T1	scaffold_3	402908	403970	-	hypothetical protein	PF00106|PF08659|PF13561			SDR		PF00106	pfam_only	Low	no	SDR: Very large superfamily — Pfam support required; keyword alone not meaningful
